MI_PRINX,offense_id,rpt_date,occur_date,occur_time,poss_date,poss_time,beat,apt_office_prefix,apt_office_num,location,MinOfucr,MinOfibr_code,dispo_code,MaxOfnum_victims,Shift,Avg Day,loc_type,UC2 Literal,neighborhood,npu,x,y
8164862,172920138,10/19/2017,10/19/2017,00:30:00,10/19/2017,00:55:00,609,,,1205 CAROLINE ST NE,0532,2203A,,1,Morn,Thu,8,BURGLARY-NONRES,Edgewood,O,-84.348470000000006,33.758339999999997
8164821,172910057,10/18/2017,10/17/2017,18:27:00,10/18/2017,00:20:00,508,,,130 W PEACHTREE PL NW,0640,2305,,1,Eve,Tue,13,LARCENY-FROM VEHICLE,Downtown,M,-84.391859999999994,33.763910000000003
8164822,172910140,10/18/2017,10/17/2017,23:50:00,10/18/2017,01:00:00,507,,,333 NELSON ST SW,0640,2305,,1,Morn,Wed,18,LARCENY-FROM VEHICLE,Castleberry Hill,M,-84.398870000000002,33.751559999999998
8164823,172910143,10/18/2017,10/18/2017,00:55:00,10/18/2017,00:59:00,307,,,1683 LAKEWOOD AVE SE,0410,1314,,1,Morn,Wed,23,AGG ASSAULT,Lakewood Heights,Y,-84.380039999999994,33.708539999999999
8164824,172910232,10/18/2017,10/18/2017,00:20:00,10/18/2017,02:00:00,105,,,168 CHAPPELL RD NW,0311,1204,,1,Morn,Wed,13,ROBBERY-PEDESTRIAN,Hunter Hills,K,-84.43356,33.759520000000002
8164825,172910390,10/18/2017,10/18/2017,03:23:00,10/18/2017,03:44:00,604,,,180 JACKSON ST NE @ATLANTA OVERLOOK AP,0640,2305,,1,Morn,Wed,18,LARCENY-FROM VEHICLE,Sweet Auburn,M,-84.374420000000001,33.759320000000002
8164826,172910572,10/18/2017,10/18/2017,00:00:00,10/18/2017,06:00:00,305,,3615,178 MOURY AVE SW,0710,2404,,1,Morn,Wed,26,AUTO THEFT,The Villages at Carver,Y,-84.390789999999996,33.713470000000001
8164827,172910673,10/18/2017,10/12/2017,12:00:00,10/18/2017,07:46:00,311,,,2866 FORREST HILLS DR SW,0522,2205,,1,Unk,Unk,19,BURGLARY-NONRES,Hammond Park,X,-84.399209999999997,33.676909999999999
8164828,172911059,10/18/2017,10/18/2017,08:00:00,10/18/2017,09:00:00,101,,,130 LAWSHEST SW,0341,1206,,1,Day,Wed,13,ROBBERY-PEDESTRIAN,The Villages at Castleberry H,T,-84.411199999999994,33.750689999999999
8164829,172911237,10/18/2017,10/18/2017,11:00:00,10/18/2017,11:15:00,305,,B,1328 PARK AVE SE,0511,2202,,1,Day,Wed,26,BURGLARY-RESIDENCE,Chosewood Park,Y,-84.370570000000001,33.718380000000003
8164830,172911254,10/18/2017,10/18/2017,08:10:00,10/18/2017,08:25:00,607,,,1485 WOODLAND AVE SE,0640,2305,,1,Day,Wed,18,LARCENY-FROM VEHICLE,Custer/McDonough/Guice,W,-84.35324,33.714269999999999
8164831,172911311,10/18/2017,10/16/2017,08:00:00,10/17/2017,19:40:00,510,,,80 JESSE HILL JR DR NE,0690,2399,,1,Unk,Tue,99,LARCENY-NON VEHICLE,Downtown,M,-84.380340000000004,33.756570000000004
